,queryNumber,tableId,queryContents,relevance,queryLength,queryStringLength,numCols,numRows,firstColHits,secondColHits,pageTitle_idf,sectionTitle_idf,tableCaption_idf,tableHeading_idf,tableBody_idf,all_idf,earlyWE,late-maxWE,late-avgWE,late-sumWE,cearly,cmax,csum,cavg,google_early,google_late_max,google_late_avg,google_late_sum
0,1,table-0370-614,world interest rates table,2,4,26,4,43,2,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7935,1.0,0.2742,26.3253,0.1195,0.4629,1.1402,0.0422,0.5712,1.0000,0.1211,11.6224
1,1,table-0389-400,world interest rates table,2,4,26,6,7,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6857,1.0,0.2333,25.1971,0.0,0.0,0.0,0.0,0.4748,1.0000,0.1149,11.9529
2,1,table-0125-805,world interest rates table,2,4,26,6,7,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6704,1.0,0.2265,23.5536,0.0,0.0,0.0,0.0,0.4612,1.0000,0.1122,11.2227
3,1,table-1042-895,world interest rates table,1,4,26,6,7,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7655,1.0,0.3033,21.8401,0.0,0.0,0.0,0.0,0.5256,1.0000,0.1168,8.4092
4,1,table-0255-236,world interest rates table,1,4,26,6,66,4,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.8326,1.0,0.2803,210.7764,0.0,0.0,0.0,0.0,0.5910,1.0000,0.1107,82.3644
5,1,table-0904-852,world interest rates table,1,4,26,4,12,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7938,1.0,0.311,28.6155,0.0,0.0,0.0,0.0,0.6102,1.0000,0.1489,13.6943
6,1,table-0914-101,world interest rates table,1,4,26,4,12,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7758,1.0,0.3066,25.7555,0.0,0.0,0.0,0.0,0.6087,1.0000,0.1493,12.5398
7,1,table-0037-411,world interest rates table,1,4,26,4,23,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7497,1.0,0.2646,17.9913,0.1173,0.4629,0.5701,0.0317,0.4784,1.0000,0.1153,7.3803
8,1,table-0552-510,world interest rates table,1,4,26,4,1,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.8245,1.0,0.3298,15.8313,0.0378,0.3086,0.4158,0.0116,0.6263,1.0000,0.1576,7.5654
9,1,table-0875-680,world interest rates table,0,4,26,2,8,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.8241,1.0,0.3062,29.391,0.1344,0.3086,0.4158,0.0462,0.6283,1.0000,0.1381,12.7013
10,1,table-1020-619,world interest rates table,0,4,26,3,4,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7766,1.0,0.2487,11.9392,0.1659,0.4629,1.1402,0.0422,0.5618,1.0000,0.1336,6.4126
11,1,table-0288-531,world interest rates table,0,4,26,5,3,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.8132,1.0,0.3133,18.7987,0.0,0.0,0.0,0.0,0.5927,1.0000,0.1406,7.8763
12,1,table-0288-530,world interest rates table,0,4,26,5,4,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.8220000000000001,1.0,0.3178,21.6123,0.0,0.0,0.0,0.0,0.5961,1.0000,0.1373,8.7855
13,1,table-1000-57,world interest rates table,0,4,26,2,2,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7915,1.0,0.3104,21.1103,0.0,0.0,0.0,0.0,0.5656,1.0000,0.1302,8.8540
14,1,table-1423-774,world interest rates table,0,4,26,2,9,0,8,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.8332,1.0,0.31,135.1541,0.0634,0.18899999999999997,0.4291,0.0159,0.5753,1.0000,0.1078,47.4206
15,1,table-0839-987,world interest rates table,0,4,26,5,4,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6393,1.0,0.2374,7.596,0.0,0.0,0.0,0.0,0.5517,1.0000,0.1719,4.8145
16,1,table-1203-836,world interest rates table,0,4,26,8,4,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.728,1.0,0.2777,14.4385,0.0,0.0,0.0,0.0,0.5063,1.0000,0.1285,6.6842
17,1,table-1203-868,world interest rates table,0,4,26,8,4,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7244,1.0,0.2761,14.3591,0.0,0.0,0.0,0.0,0.5071,1.0000,0.1331,6.3907
18,1,table-0063-827,world interest rates table,0,4,26,2,10,3,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7863,1.0,0.3037,66.816,0.0,0.0,0.0,0.0,0.5489,1.0000,0.1189,26.1662
19,1,table-1071-345,world interest rates table,0,4,26,5,16,4,4,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.8003,1.0,0.2721,229.6254,0.0,0.0,0.0,0.0,0.5038,1.0000,0.0866,73.1027
20,1,table-0216-976,world interest rates table,0,4,26,11,6,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7811,1.0,0.2761,26.5089,0.0,0.0,0.0,0.0,0.5519,1.0000,0.1337,12.8337
