tables,scores
table-1479-337,2514
table-0713-460,2378
table-0387-60,2325
table-0529-770,2290
table-0387-47,2216
table-1482-914,2153
table-0529-771,2142
table-0675-896,2106
table-1295-621,2106
table-0375-831,2090
table-0001-249,2074
table-0109-237,2038
table-0511-959,1978
table-0675-934,1976
table-0675-947,1976
table-0675-954,1976
table-0676-60,1976
table-0677-812,1976
table-1567-612,1961
table-1305-174,1959
table-0029-647,1930
table-0218-222,1911
table-0420-793,1904
table-1108-641,1849
table-1148-406,1846
