0/1,p-val(0/1),0_2,p-val(0/2),1_2,p-val(1/2)
google_late_avg,6.41e-35,pageTitle_idf,1.80e-33,firstColHits,2.44e-06
google_early,3.89e-29,google_early,1.86e-32,all_idf,1.12e-04
late-avgWE,8.31e-26,google_late_avg,2.00e-31,queryStringLength,1.96e-04
pageTitle_idf,1.13e-21,tableCaption_idf,5.25e-29,sectionTitle_idf,2.07e-04
earlyWE,6.16e-21,sectionTitle_idf,4.37e-27,numRows,4.66e-04
rdf_late_max,1.51e-19,rdf_late_max,5.17e-21,pageTitle_idf,7.48e-04
cavg,3.30e-19,all_idf,1.14e-20,tableCaption_idf,1.94e-03
cearly,5.83e-18,queryLength,3.73e-18,google_early,2.12e-03
tableHeading_idf,5.27e-16,tableHeading_idf,2.04e-17,numCols,2.45e-03
queryLength,2.58e-15,cavg,2.84e-17,rdf_late_sum,1.32e-02
